40 40 1
f -18.5 0 -18.5
f -18.5 0 -17.5
f -18.5 0 -16.5
f -18.5 0 -15.5
f -18.5 0 -14.5
f -18.5 0 -13.5
f -18.5 0 -12.5
f -18.5 0 -11.5
f -18.5 0 -10.5
f -18.5 0 -9.5
f -18.5 0 -8.5
f -18.5 0 -7.5
f -18.5 0 -0.5
f -18.5 0 0.5
f -18.5 0 7.5
f -18.5 0 8.5
f -18.5 0 9.5
f -18.5 0 10.5
f -18.5 0 11.5
f -18.5 0 12.5
f -18.5 0 13.5
f -18.5 0 14.5
f -18.5 0 15.5
f -18.5 0 16.5
f -18.5 0 17.5
f -18.5 0 18.5
f -17.5 0 -18.5
f -17.5 0 -17.5
f -17.5 0 -16.5
f -17.5 0 -15.5
f -17.5 0 -14.5
f -17.5 0 -13.5
f -17.5 0 -12.5
f -17.5 0 -11.5
f -17.5 0 -10.5
f -17.5 0 -9.5
f -17.5 0 -8.5
f -17.5 0 -7.5
f -17.5 0 -0.5
f -17.5 0 0.5
f -17.5 0 7.5
f -17.5 0 8.5
f -17.5 0 9.5
f -17.5 0 10.5
f -17.5 0 11.5
f -17.5 0 12.5
f -17.5 0 13.5
f -17.5 0 14.5
f -17.5 0 15.5
f -17.5 0 16.5
f -17.5 0 17.5
f -17.5 0 18.5
f -16.5 0 -18.5
f -16.5 0 -17.5
w -16.5 0 -16.5
w -16.5 0 -15.5
w -16.5 0 -14.5
w -16.5 0 -13.5
f -16.5 0 -12.5
f -16.5 0 -11.5
w -16.5 0 -10.5
w -16.5 0 -9.5
f -16.5 0 -8.5
f -16.5 0 -7.5
f -16.5 0 -0.5
f -16.5 0 0.5
f -16.5 0 7.5
f -16.5 0 8.5
w -16.5 0 9.5
w -16.5 0 10.5
f -16.5 0 11.5
f -16.5 0 12.5
w -16.5 0 13.5
w -16.5 0 14.5
w -16.5 0 15.5
w -16.5 0 16.5
f -16.5 0 17.5
f -16.5 0 18.5
f -15.5 0 -18.5
f -15.5 0 -17.5
w -15.5 0 -16.5
w -15.5 0 -15.5
w -15.5 0 -14.5
w -15.5 0 -13.5
f -15.5 0 -12.5
f -15.5 0 -11.5
w -15.5 0 -10.5
w -15.5 0 -9.5
f -15.5 0 -8.5
f -15.5 0 -7.5
f -15.5 0 -0.5
f -15.5 0 0.5
f -15.5 0 7.5
f -15.5 0 8.5
w -15.5 0 9.5
w -15.5 0 10.5
f -15.5 0 11.5
f -15.5 0 12.5
w -15.5 0 13.5
w -15.5 0 14.5
w -15.5 0 15.5
w -15.5 0 16.5
